"sp","d.tpos","d.tneg","d.fpos","d.fneg","d.probopti","NZ.count","tmax1","tmax2","tmax3","tmax4","q1","q2","w11","w12","ns1","ns2","tmean1","tmean2","w21","w22","w23","w24","nsoil1","nsoil2","tmin1","tmin2","tmin3","tmin4","tmean21","tmean22","tmax1.back","tmax2.back","tmax3.back","tmax4.back","q1.back","q2.back","w11.back","w12.back","ns1.back","ns2.back","tmean1.back","tmean2.back","w21.back","w22.back","w23.back","w24.back","nsoil1.back","nsoil2.back","tmin1.back","tmin2.back","tmin3.back","tmin4.back","tmean21.back","tmean22.back"
"V._brachysiphon",252,231,29,8,0.571973044,42656,0.184312627,0.271524173,0.477194091,0.656520627,0.910213122,0.910463241,0.529581303,0.712185302,0.113687195,0.116039242,0.360383517,0.427350714,0.925641339,0.937169935,2.265805494,2.464625384,0.024194532,0.032248433,0.379422749,0.610839439,0.688141345,0.698516489,0.654273253,0.686324523,-0.784368675,3.576208635,13.85970453,22.82603135,44.60044517,44.61270101,52.95813027,71.21853022,0.113687195,0.116039242,1.217258265,4.23078214,92.56413391,93.71699351,100,100,0.024194532,0.032248433,-2.925976289,7.487774737,10.96636052,11.43324201,14.44229636,15.88460353
"V._canterburiensis",858,732,148,13,0.598235368,50230,0.204693294,0.270608405,1.574985787,1.72551756,0.910186055,0.910313739,0.749516345,0.982731973,0.045714595,0.062149813,0.367932493,0.434808179,0.792822788,0.928749129,2.523728504,2.775831613,2.16e-05,0.043882934,0.213688265,0.429245136,0.822257907,0.948790698,0.682633405,0.914023093,0.234664695,3.530420266,40,40,44.59911892,44.60537541,74.95163454,98.27319726,0.045714595,0.062149813,1.556962195,4.566368052,79.28227878,92.8749129,100,100,2.16e-05,0.043882934,-10.38402808,-0.683968866,17.00160583,22.69558141,15.71850325,26.13103916
"V._catarractae",141,116,34,1,0.291727708,62419,0.054782345,0.321699855,1.461910367,1.524691481,0.778947871,0.782117464,0.982872052,0.992219456,0.029467087,0.271228976,0.322385855,0.473901752,0.570309181,0.871740333,1.382760672,1.508261549,0.033482079,0.193903504,0.069075147,0.160517569,0.592365079,0.717143052,0.615095271,0.77418267,-7.260882742,6.084992762,40,40,38.16845111,38.32376107,98.28720519,99.22194561,0.029467087,0.271228976,-0.492636541,6.325578855,57.03091807,87.17403331,100,100,0.033482079,0.193903504,-16.8916184,-12.77670939,6.65642854,12.27143735,12.6792872,19.83822013
"V._dilatata",46,49,1,1,0.602611946,6366,0.19184727,0.213368781,0.986615692,1.198714514,0.022617804,0.200115795,0.728416984,0.83111733,0.144510793,0.356242249,0.250243247,0.275838049,0.57950685,0.598201684,1.726756031,1.769973266,0.033099543,0.085499089,0.003452498,0.173326351,0.412720739,0.413346456,0.634462939,0.634885107,-0.407636484,0.668439069,39.3307846,40,1.108296326,9.805693568,72.84169844,83.11173304,0.144510793,0.356242249,-3.73905389,-2.587287785,57.95068497,59.82016835,100,100,0.033099543,0.085499089,-19.8446376,-12.20031421,-1.427566747,-1.399409499,13.55083226,13.56982981
"V._lavaudiana",65,65,5,5,0.551769929,41866,0.001790608,0.196866128,0.519033391,0.519234415,0.206197579,0.218904668,0.868442151,0.889615303,0.077178665,0.077218164,0.402501666,0.509956117,0.421083262,0.447262928,0.687994323,0.770360027,0.05236342,0.054073529,0.314658978,0.429225803,1.025329351,1.104443468,0.691709805,0.692936943,-9.910469592,-0.156693593,15.95166954,15.96172075,10.1037008,10.72634786,86.84421508,88.96153032,0.077178665,0.077218164,3.112574953,7.948025262,42.10832619,44.72629282,68.79943233,77.03600273,0.05236342,0.054073529,-5.840345985,-0.684838863,25,25,16.12694121,16.18216242
"V._leiophylla",276,218,62,4,0.588853503,69241,0.025481156,0.353544793,1.024160922,1.185908185,0.910149966,0.910268268,0.795728227,0.799167424,0.102412994,0.103589975,0.360549656,0.383692383,0.142941696,0.440044806,1.471681796,1.699108421,0.030297702,0.032499146,0.496868172,0.596107998,1.116828401,1.37852215,0.895286771,0.935597698,-8.725942199,7.677239668,40,40,44.59735051,44.60314733,79.5728227,79.91674239,0.102412994,0.103589975,1.224734528,2.266157247,14.29416961,44.00448058,100,100,0.030297702,0.032499146,2.359067718,6.82485993,25,25,25.28790467,27.10189642
"V._lilliputiana",75,51,29,4,0.574832427,58613,0.268639963,0.314699465,0.348186848,0.416141411,0.210779144,0.240009522,0.47247651,0.509937928,0.101727219,0.105147914,0.176869369,0.340372963,0.385136185,0.490014345,0.913765936,1.018343965,0.012990185,0.037976464,0.372467372,0.50184951,1.505334644,1.693081178,0.107158537,0.325376868,3.431998163,5.734973261,7.409342424,10.80707057,10.32819737,11.76048522,47.247651,50.99379281,0.101727219,0.105147914,-7.040878379,0.316783329,38.51361846,49.00143454,91.37659364,100,0.012990185,0.037976464,-3.238968239,2.583227936,25,25,-10.17786583,-0.358040947
"V._linifolia",161,133,37,1,0.292004783,58225,0.023457882,0.240380612,0.903301646,1.065296389,0.910246129,0.91035984,0.795848847,0.999588164,0.103047531,0.103453016,0.360445834,0.369312882,0.136281137,0.435098277,1.461593505,1.688758686,0.026644802,0.02839185,0.499849731,0.597885634,1.118183843,1.381165587,0.897480182,0.919731462,-8.827105917,2.0190306,35.16508232,40,44.60206253,44.60763434,79.58488474,99.95881644,0.103047531,0.103453016,1.220062508,1.619079702,13.62811368,43.50982774,100,100,0.026644802,0.02839185,2.493237877,6.904853509,25,25,25.3866082,26.38791579
"V._ochracea",59,51,9,0,0.191394089,26177,0.091321833,0.409246704,0.525655398,0.527313245,0.23261602,0.237566469,0.745405834,0.863356699,0.311380586,0.321631329,0.299718571,0.335170942,0.917240831,0.980069539,2.319990092,2.381403434,0.011142536,0.014431382,0.195437439,0.294828103,1.221772575,1.34952185,0.595592406,0.59734307,-5.433908331,10.46233518,16.28276991,16.36566223,11.39820376,11.64077568,74.54058341,86.33566993,0.311380586,0.321631329,-1.512664292,0.082692412,91.72408306,98.00695394,100,100,0.011142536,0.014431382,-11.20531525,-6.732735352,25,25,11.80165825,11.88043814
"V._pulvinaris",368,318,62,7,0.626012324,34890,0.116865244,0.117632599,0.353511675,0.354059289,0.352310078,0.352751149,0.355434698,0.563553612,0.011430209,0.053365087,0.05564197,0.206090699,0.72174494,0.864166533,1.154782943,1.331272997,0.018196898,0.023266432,0.225277317,0.242927759,1.82043249,1.956144598,1.115150056,1.35004543,-4.156737821,-4.118370057,7.675583741,7.702964472,17.26320968,17.28482214,35.54346983,56.35536121,0.011430209,0.053365087,-12.49611137,-5.725918551,72.17449396,86.41665331,100,100,0.018196898,0.023266432,-9.862520721,-9.068250851,25,25,30,30
"V._raoulii",154,120,40,0,0.285485696,57943,0.025714777,0.24088817,0.9403352,1.016102638,0.910244043,0.91035346,0.105526759,0.260615846,0.107005219,0.312577502,0.365532085,0.390841314,0.170447362,0.464780893,1.533121226,1.763164,0.029566384,0.052000247,0.49130511,0.596298807,1.085807471,1.344406794,0.892508105,0.93978376,-8.714261157,2.044408498,37.01675999,40,44.6019603,44.60732174,10.55267586,26.06158457,0.107005219,0.312577502,1.448943805,2.58785913,17.04473618,46.47808932,100,100,0.029566384,0.052000247,2.108729937,6.833446322,25,25,25.16286474,27.2902692
"V._rigidula",71,69,11,0,0.306429344,43700,0.155299171,0.368813097,1.136018934,1.317584731,0.910249012,0.910255165,0.856559929,0.89605038,0.124418251,0.129359663,0.315773567,0.346292182,0.581726864,0.65004213,1.334090946,1.552371867,0.040883088,0.043157882,0.524890585,0.556311935,1.571134123,1.750484897,1.104694306,1.205546608,-2.235041429,8.440654867,40,40,44.60220378,44.60250528,85.65599294,89.605038,0.124418251,0.129359663,-0.790189489,0.583148204,58.17268645,65.00421304,100,100,0.040883088,0.043157882,3.620076347,5.034037064,25,25,30,30
"V._strictissima",106,99,11,1,0.643130158,32188,0.349162373,0.349808131,1.940046982,2.147802064,0.107605149,0.141224651,0.79850478,0.868634471,0.041731302,0.041756115,0.542361812,0.549212152,0.110491443,0.11251662,0.660006713,0.68939482,0.053277032,0.05679747,0.418627385,0.419253251,1.157847523,1.320967672,0.71354157,0.714081377,7.458118667,7.490406571,40,40,5.272674144,6.920028947,79.850478,86.86344707,0.041731302,0.041756115,9.406281523,9.714546833,11.04914427,11.25166198,66.00067135,68.93948201,0.053277032,0.05679747,-1.161767663,-1.133603706,25,25,17.10937067,17.13366196
"V._venustula",124,177,3,52,0.68002545,7751,0.04311535,0.288253512,0.430984857,0.488905011,0.265422391,0.266285821,0.850958723,0.998461274,0.059163908,0.284418607,0.359452262,0.557853362,0.92900764,1.132901648,1.967294905,2.272328283,0.025416331,0.105092427,0.12844852,0.291714015,0.595860781,0.664949432,0.603291772,0.859879567,-7.844232487,4.412675603,11.54924286,14.44525055,13.00571515,13.0480232,85.09587226,99.84612739,0.059163908,0.284418607,1.175351803,10.10340128,92.90076397,100,100,100,0.025416331,0.105092427,-14.21981662,-6.872869332,6.813735127,9.922724442,12.14812972,23.69458051
"V._albicans",231,196,44,8,0.51082773,60378,0.051455804,0.344742622,0.565297725,0.566317634,0.536584081,0.537442259,0.675925592,0.837416863,0.252519229,0.360777085,0.323710021,0.411308468,0.951149633,1.000275665,2.174521145,2.256031244,0.040040646,0.043012967,0.405623909,0.464196233,1.020011897,1.239129499,0.721250893,0.731982183,-7.427209783,7.237131118,18.26488627,18.31588171,26.2926313,26.33468202,67.59255919,83.74168627,0.252519229,0.360777085,-0.433049064,3.508881061,95.11496332,100,100,100,0.040040646,0.043012967,-1.746924105,0.888830488,25,25,17.45629018,17.93919823
"V._amplexicaulis",70,67,13,2,0.722052841,45654,0.226769782,0.555587957,1.191000999,1.27139171,0.512818783,0.512821132,0.370566435,0.496653442,0.136087548,0.136408549,0.339683963,0.485451913,0.819445049,0.829972688,2.075253625,2.225150364,0.050990045,0.051996848,0.044447887,0.062100355,0.444318269,0.471219746,0.682370348,1.012337889,1.338489116,17.77939787,40,40,25.12813228,25.12824739,37.05664351,49.66534415,0.136087548,0.136408549,0.28577833,6.845336095,81.94450486,82.99726876,100,100,0.050990045,0.051996848,-17.9998451,-17.20548404,-0.005677909,1.204888571,15.70666565,30
"V._angustissima",30,25,5,0,0.575027542,56177,0.226899014,0.362592467,1.680948737,1.952049707,0.204020357,0.244975487,0.248154521,0.502694852,0.303132511,0.316610182,0.481560144,0.482009527,0.484796106,0.502378413,1.295120229,1.539823475,0.021131901,0.045258584,0.232834064,0.366022649,0.663498128,0.664407873,0.524412102,0.830717489,1.344950721,8.129623338,40,40,9.997016998,12.00381737,24.81545208,50.26948522,0.303132511,0.316610182,6.670206477,6.690428693,48.4796106,50.23784127,100,100,0.021131901,0.045258584,-9.522467115,-3.528980816,9.857415741,9.898354285,8.598544606,22.38228701
