"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica albicans","WELT.SP083625",172.65,-40.63,"gbif",NA,NA,204.312561,0,1,1,2
"Veronica albicans","CHR 285778",172.64,-40.63,"gbif",NA,NA,462.8432007,0,1,1,2
"Veronica albicans","WELT.SP082017/A",172.65,-40.63,"gbif",NA,NA,204.312561,0,1,1,2
"Veronica albicans","WELT.SP082017/B",172.65,-40.63,"gbif",NA,NA,204.312561,0,1,1,2
"Veronica albicans","HO 317495",172.61719,-40.63177,"gbif",NA,NA,276.7111206,0,1,1,5
"Veronica albicans","WELT.SP081757/A",172.6333333,-40.63333333,"eflora","Burnett Range, various places along Mount Burnett access road and southern peak.",NA,445.684967,0,1,1,8
"Veronica albicans","WELT.SP081757/B",172.6333333,-40.63333333,"eflora","Burnett Range, various places along Mount Burnett access road and southern peak.",NA,445.684967,0,1,1,8
"Veronica albicans","AK232598",172.6407796,-40.63798814,"eflora","New Zealand, South Island, North-west Nelson Ecological Region, Wakamarama Ecological District, Burnett Range, Mount Burnett, helipad",NA,600.8016968,0,1,1,8
"Veronica albicans","CHR 312941",172.64,-40.6382,"gbif",NA,NA,608.4474487,0,1,1,4
"Veronica albicans","WELT.SP098533",172.639588,-40.63978535,"eflora","Whakamarama Range, Mt. Burnett.",NA,607.9794312,0,1,1,8
"Veronica albicans","AK282137",172.64077,-40.639789,"eflora","New Zealand, South Island, North-west Nelson Ecological Region, Wakamarama Ecological District, Burnett Range, Mount Burnett, north peak",NA,583.8167725,0,1,1,6
"Veronica albicans","AK224259",172.6372095,-40.64247931,"eflora","New Zealand, South Island, North-west Nelson Ecological Region, Wakamarama Ecological District, Mount Burnett South",NA,590.8953247,0,1,1,8
"Veronica albicans","AK224260",172.6372095,-40.64247931,"eflora","New Zealand, South Island, North-west Nelson Ecological Region, Wakamarama Ecological District, Mount Burnett South",NA,590.8953247,0,1,1,8
"Veronica albicans","WELT.SP081754/A",172.6395736,-40.64248663,"eflora","Burnett Range, Mount Burnett, beside access road.",NA,495.5325012,0,1,1,8
"Veronica albicans","WELT.SP081754/B",172.6395736,-40.64248663,"eflora","Burnett Range, Mount Burnett, beside access road.",NA,495.5325012,0,1,1,8
"Veronica albicans","WELT.SP081756/A",172.6372046,-40.64337973,"eflora","Burnett Range, near summit of peak south of Mount Burnett and near Three Sisters.",NA,610.9395752,0,1,1,8
"Veronica albicans","WELT.SP081756/B",172.6372046,-40.64337973,"eflora","Burnett Range, near summit of peak south of Mount Burnett and near Three Sisters.",NA,610.9395752,0,1,1,8
"Veronica albicans","CHR511907",172.6396,-40.64339,"eflora","Mount Burnett",NA,541.5811157,0,1,1,5
"Veronica albicans","CHR 511907",172.64,-40.6434,"gbif",NA,NA,532.3069458,0,1,1,4
