"species","alpine","subalpine","lowland","zone","northern","central","southern","NI","SI","Bayly_and_kellow","Mark_and_Adams","category","merged_category"
"Veronica_adamsii",0,0,1,"northern",1,0,0,1,0,"east-facing cliffs, sometimes in scrub (small endemic)","","L","L"
"Veronica_albicans",1,1,1,"central",0,1,0,0,1,"usually on rocks from just above sea level to subalpine and penalpine","","ASL","ML"
"Veronica_amplexicaulis",1,1,0,"central",0,1,0,0,1,"rock outcrops, subalpine scrub, sometimes forests; "," 1100-1400 m, rocks in snow tussock grassland","AS","M"
"Veronica_angustissima",0,0,1,"northern",1,0,0,1,0,"rocky sites in lowland river gorges","","L","L"
"Veronica_annulata",1,1,0,"southern",0,0,1,0,1,"""dry mountains, sparse shrubland on rocky sites""","","AS","M"
"Veronica_arganthera",1,1,0,"southern",0,0,1,0,1,"""bluffs near the treeline""","","AS","M"
"Veronica_armstrongii",0,1,1,"central",0,1,0,0,1,"mountains, on river terraces near bogs","","SL","ML"
"Veronica_baylyi",1,1,0,"central",0,1,0,0,1,"grassland and sparse shrubland on ulftramafic mountains/ridges","","AS","M"
"Veronica_biggarii",1,1,0,"southern",0,0,1,0,1,"mountains: rock outcrops (cliffs and bluffs), also open areas of snow tussock grassland","  low-alpine, 1200-1450 m","AS","M"
"Veronica_birleyi",1,0,0,"southern and central",0,1,1,1,1,"(NZPCN) high alpine (up to 2900 m): colonising rock shelves, ledges and crevices;","  High-alpine to nival: 2000-2900m; loose debris and fellfield","A","M"
"Veronica_bishopiana",0,0,1,"northern",1,0,0,1,0,"streamsides, shaded cliff faces, seepages on exposed outcrops and sometimes low scrub","","L","L"
"Veronica_bollonsii",0,0,1,"northern",1,0,0,1,0,"near-coastal scrub and forest","","L","L"
"Veronica_brachysiphon",1,1,0,"central",0,1,0,0,1,"subalpine shrubland and beech forest close to tree line","","AS","M"
"Veronica_buchananii",1,1,0,"southern",0,0,1,0,1,"open penalpine/subalpine areas on rocks, debris slopes, low shrubland, sometimes grassland"," low- to high-alpine, 900-2100 m; rock outcrops and exposed sites, cushion and fellfield","AS","M"
"Veronica_calcicola",1,1,0,"central",0,1,0,0,1,"outcropping marble rocks of NW Neslon mountains","","AS","M"
"Veronica_canterburiensis",1,1,0,"central",0,1,0,1,1,"beech forest at or close to tree-line and in subalpine grassland and shrubland;","  subalpine to low-alpine; 900-1400 m; snow-tussock herfield and mixed tussock-scrub","AS","M"
"Veronica_catarractae",0,1,1,"southern and disjunct northern",1,0,1,1,1,"(NZPCN) coastal to montane along riverbeds","","SL","ML"
"Veronica_cheesemanii",1,0,0,"central",0,1,0,0,1,"(NZPCN) alpine rock outcrops and scree; "," low to high alpine; 1000-1700 m; scre and loose stony debris","A","M"
"Veronica_chionohebe",1,0,0,"southern",0,0,1,0,1,"","as Chionohebe thomsonii [var glabra?]) High alpine (1400-2400 m) on rock outcrops and debris with other cushion plants","A","M"
"Veronica_ciliolata",1,0,0,"southern and central",0,1,1,0,1,"(NZPCN) alpine rock outcrops and boulder fields, often exposed "," low- to high alpine: 1100-2100 m; fine debris and rock outcrops in both exposed and sheltered fellfield; low-alpine is restricted to highly exposed ridges and outcrops","A","M"
"Veronica_cockayneana",1,1,0,"southern",0,0,1,0,1,"alpine shrubland and grassland, sometimes rocky places; ",": subalpine to low alpine; 800-1500 m; see V. odora","AS","M"
"Veronica_colensoi",0,1,1,"northern",1,0,0,1,0,"rock outcrops on bluffs, gorges, riverbanks","","SL","ML"
"Veronica_colostylis",1,1,0,"southern",0,0,1,0,1,"montane to alpine on cliffs, rock outcrops, river gravel/banks, moraines, grassland","","AS","M"
"Veronica_corriganii",0,1,1,"northern",1,0,0,1,0,"near-coastal lowland scrub to montane or subalpine forests","","SL","ML"
"Veronica_cryptomorpha",1,1,0,"central",0,1,0,0,1,"subalpine grassland and shrubland, rocks and boulder fields","","AS","M"
"Veronica_cupressoides",1,1,0,"southern and central",0,1,1,0,1,"drier mountains; grey scrub on rock outcrops, bouldery moraine, slips, usually near rivers and lakes"," subalpine to low alpine 600-1400m, stony well-drained sites, gravel river beds and terraces among tussock grasslands","AS","M"
"Veronica_decora",1,1,0,"southern and central",0,1,1,0,1,"NZPCN montane to subalpine "," montane to low alpine: 300-1500; well drained stony sites","AS","M"
"Veronica_decumbens",1,1,0,"central",0,1,0,0,1,"drier mountains, grassland or low shrubland in rocky, open areas"," subalpine to low-alpine, 900-1500 m; rocky sites in grassland","AS","M"
"Veronica_densifolia",1,0,0,"southern",0,0,1,0,1,"(NZPCN) subalpine to alpine, in fellfield, tussock-grassland, snow banks/rubble, damp crevices in outcrops, peat;","  Low- to high alpine 1100-1800 m; exposed open sites in snow tussock grassland or sheltered mosit sites in fellfield and cushion vegetation","A","M"
"Veronica_dilatata",1,0,0,"southern",0,0,1,0,1,"rocky areas on boulders or scree, sometimes in tussock grassland, bog;","  low-alpine, 1300-1400, loose rocky debris","A","M"
"Veronica_diosmifolia",0,0,1,"northern",1,0,0,1,0,"lowland scrub, at forest margins, often near-coastal or near riverbanks","","L","L"
"Veronica_elliptica",0,0,1,"southern and central",1,1,1,1,1,"coastal, often on exposed rocks; present though rare on NI","","L","L"
"Veronica_epacridea",1,1,0,"southern and central",0,1,1,0,1,"open alpine areas on rock debris, highest alitutdies for vascular plants in NZ;"," : high-alpine, 1200-2100 m; screes and debris slope or crevices in fellfield","AS","M"
